Jurisdictions,EffectiveDate,ValidThroughDate,pmp2012,access_Prescribers,access_Dispensers,access_RegulatoryBoards,access_MedicalExaminer/Coroner,access_DrugCourts,access_None,prescriber-access_Currentpatients,prescriber-access_Prospectivepatients,prescriber-access_Formerpatients,prescriber-access_None,dispenser-access_Currentpatients,dispenser-access_Prospectivepatients,dispenser-access_Formerpatients,dispenser-access_None,delegate,patient-access,instate-yn,instate-le_TherearenorestrictionsonlawenforcementaccesstoPDMPdata,instate-le_Lawenforcementhasaccessforactiveinvestigations,instate-le_Lawenforcementmustbegrantedaccessbysubpoena,instate-le_Lawenforcementmustbegrantedaccessbyissuanceofwarrant/judicialfindingofprobablecause,pdmp-outstate,outstate-le_NorestrictionsonlawenforcementaccesstoPDMPdata,outstate-le_Lawenforcementhasaccessforactiveinvestigations,outstate-le_Lawenforcementmustbegrantedaccessbysubpoena,outstate-le_Lawenforcementmustbegrantedaccessbyissuanceofwarrant/judicialfindingofprobablecause,table_type,Jurisdictions:1,EffectiveDate:1,ValidThroughDate:1,pmp2012:1,agency_Lawenforcement,agency_DepartmentofHealth/HHS,agency_Consumerprotectionagency,agency_Professionallicensingauthority(e.g.PharmacyorMedicalBoard),agency_AttorneyGeneral,agency_Other,pmp-funding_Appropriationprovisions,pmp-funding_Chargingfees,pmp-funding_Grants,pmp-funding_Gifts,pmp-funding_Nofundingprovisionsincludedinthelaw,oversight,evaluation,purge-time,proactive-permit,proactive-actionrequire_Mustreporttolawenforcement,proactive-actionrequire_Mustreporttoprofessionallicensingbody,proactive-actionrequire_Mustreporttoprescriberordispenser,proactive-actionrequire_Permittedtoreporttolawenforcement,proactive-actionrequire_Permittedtoreporttoprofessionallicensingbody,proactive-actionrequire_Permittedtoreporttoprescriberordispenser,proactive-actionrequire_Other,foia,research,pdmp-research,table_type:1,Jurisdictions:2,EffectiveDate:2,ValidThroughDate:2,pmp2012:2,agency_Lawenforcement:1,agency_DepartmentofHealth/HHS:1,agency_Consumerprotectionagency:1,agency_Professionallicensingauthority(e.g.PharmacyorMedicalBoard):1,agency_AttorneyGeneral:1,agency_Other:1,pmp-funding_Appropriationprovisions:1,pmp-funding_Chargingfees:1,pmp-funding_Grants:1,pmp-funding_Gifts:1,pmp-funding_Nofundingprovisionsincludedinthelaw:1,oversight:1,evaluation:1,purge-time:1,proactive-permit:1,proactive-actionrequire_Mustreporttolawenforcement:1,proactive-actionrequire_Mustreporttoprofessionallicensingbody:1,proactive-actionrequire_Mustreporttoprescriberordispenser:1,proactive-actionrequire_Permittedtoreporttolawenforcement:1,proactive-actionrequire_Permittedtoreporttoprofessionallicensingbody:1,proactive-actionrequire_Permittedtoreporttoprescriberordispenser:1,proactive-actionrequire_Other:1,foia:1,research:1,pdmp-research:1,table_type:2
"California","2003-01-01","2003-12-31","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","access","California","2003-01-01","2003-12-31","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","1","admin","California","2003-01-01","2003-12-31","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","1","admin"
"California","2012-01-01","2013-12-31","1","1","1","1","0","0","0","1","1","0","0","1","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","access","California","2012-01-01","2013-12-31","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","1","0","0","1","1","admin","California","2012-01-01","2013-12-31","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","1","0","0","1","1","admin"
"Colorado","2005-06-03","2007-05-21","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","0","0","1","1","access","Colorado","2005-06-03","2007-05-21","1","0","0","0","1","0","0","1","1","1","1","0","1","0","4","0",".",".",".",".",".",".",".","0","1","1","admin","Colorado","2005-06-03","2007-05-21","1","0","0","0","1","0","0","1","1","1","1","0","1","0","4","0",".",".",".",".",".",".",".","0","1","1","admin"
"Connecticut","2006-10-01","2007-07-31","1","1","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0",".",".",".",".","access","Connecticut","2006-10-01","2007-07-31","1","0","0","1","0","0","0","0","0","0","0","1","1","1","4","0",".",".",".",".",".",".",".","0","0",".","admin","Connecticut","2006-10-01","2007-07-31","1","0","0","1","0","0","0","0","0","0","0","1","1","1","4","0",".",".",".",".",".",".",".","0","0",".","admin"
"Connecticut","2007-08-01","2007-09-30","1","1","1","1","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0",".",".",".",".","access","Connecticut","2007-08-01","2007-09-30","1","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0",".",".",".",".",".",".",".","0","1","1","admin","Connecticut","2007-08-01","2007-09-30","1","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0",".",".",".",".",".",".",".","0","1","1","admin"
"Connecticut","2015-10-01","2016-06-30","1","1","1","1","0","0","0","1","1","0","0","1","0","0","0","1","0","1","1","0","0","0","0",".",".",".",".","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delaware","2011-01-01","2013-07-02","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","0","1","0","1","0","0","access","Delaware","2011-01-01","2013-07-02","1","0","0","0","0","0","1","0","0","0","0","1","0","1","4","0",".",".",".",".",".",".",".","1","1","1","admin","Delaware","2011-01-01","2013-07-02","1","0","0","0","0","0","1","0","0","0","0","1","0","1","4","0",".",".",".",".",".",".",".","1","1","1","admin"
"Delaware","2014-03-01","2016-07-01","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","0","1","0","1","0","0","access","Delaware","2014-03-01","2016-07-01","1","0","0","0","0","0","1","0","0","0","0","1","0","1","4","1","0","0","0","0","1","1","0","1","1","1","admin","Delaware","2014-03-01","2016-07-01","1","0","0","0","0","0","1","0","0","0","0","1","0","1","4","1","0","0","0","0","1","1","0","1","1","1","admin"
"District of Columbia","2001-01-01","2014-02-21","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","access","District of Columbia","2001-01-01","2014-02-21","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","admin","District of Columbia","2001-01-01","2014-02-21","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","admin"
"District of Columbia","2014-02-22","2015-12-10","1","1","1","1","1","0","0","1","1","0","0","1","1","0","0","0","1","1","0","1","0","0","1","0","1","0","0","access","District of Columbia","2014-02-22","2015-12-10","1","0","1","0","0","0","0","0","0","0","0","1","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin","District of Columbia","2014-02-22","2015-12-10","1","0","1","0","0","0","0","0","0","0","0","1","1","1","4","1","0","0","0","0","0","1","0","1","1","1","admin"
"District of Columbia","2015-12-11","2016-07-01","1","1","1","1","1","0","0","1","1","0","0","1","1","0","0","1","1","1","0","1","0","0","1","0","1","0","0","access","District of Columbia","2015-12-11","2016-07-01","1","0","1","0","0","0","0","0","0","0","0","1","1","1","4","1","0","0","0","1","1","1","0","1","1","1","admin","District of Columbia","2015-12-11","2016-07-01","1","0","1","0","0","0","0","0","0","0","0","1","1","1","4","1","0","0","0","1","1","1","0","1","1","1","admin"
"Florida","2009-07-01","2010-06-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","access","Florida","2009-07-01","2010-06-30","1","0","1","0","0","0","0","0","0","1","1","0","0","1","2","0",".",".",".",".",".",".",".","1","0",".","admin","Florida","2009-07-01","2010-06-30","1","0","1","0","0","0","0","0","0","1","1","0","0","1","2","0",".",".",".",".",".",".",".","1","0",".","admin"
"Florida","2016-07-01","2016-07-01","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","0","1","0","1","0","0","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia","2011-07-01","2012-03-26","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","access","Georgia","2011-07-01","2012-03-26","1","1","0","0","1","0","0","0","0","1","1","0","1","1","3","0",".",".",".",".",".",".",".","1","1","1","admin","Georgia","2011-07-01","2012-03-26","1","1","0","0","1","0","0","0","0","1","1","0","1","1","3","0",".",".",".",".",".",".",".","1","1","1","admin"
"Georgia","2016-07-01","2016-07-01","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","0","0","0","1","access","Georgia","2016-07-01","2016-07-01","1","1","0","0","1","0","0","0","0","1","1","0","1","1","2","0",".",".",".",".",".",".",".","1","1","1","admin","Georgia","2016-07-01","2016-07-01","1","1","0","0","1","0","0","0","0","1","1","0","1","1","2","0",".",".",".",".",".",".",".","1","1","1","admin"
"Hawaii","1998-01-01","1999-06-22","1","0","0","0","0","0","1",".",".",".",".",".",".",".",".","0","0","1","0","1","0","0","1","0","1","0","0","access","Hawaii","1998-01-01","1999-06-22","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0",".","admin","Hawaii","1998-01-01","1999-06-22","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0",".","admin"
"Hawaii","1999-07-02","2000-04-14","1","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii","2016-07-01","2016-07-01","1","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idaho","2000-04-04","2000-06-30","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0",".",".",".",".","0",".",".",".",".","access","Idaho","2000-04-04","2000-06-30","1","0","0","0","1","0","0","0","0","1","1","0","0","0","4","1","0","0","0","1","1","1","0","1","1","1","admin","Idaho","2000-04-04","2000-06-30","1","0","0","0","1","0","0","0","0","1","1","0","0","0","4","1","0","0","0","1","1","1","0","1","1","1","admin"
"Idaho","2006-07-01","2007-06-30","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idaho","2007-07-01","2008-04-01","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","0","0","1","1","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Idaho","2016-07-01","2016-07-01","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","1","1","1","0","0","1","1","access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
